Id,Label,Type,Mode
1,3SBio,TRUE,1
2,Aier Eye Hospital,TRUE,1
3,Alibaba,TRUE,1
4,Anbang,TRUE,1
5,Anhui Conch,TRUE,1
6,Anhui Foreign Economic Construction,TRUE,1
7,Anhui Landing,TRUE,1
8,Anhui Shanying,TRUE,1
9,Anhui Zhongding,TRUE,1
10,Anta Sports,TRUE,1
11,Antonoil,TRUE,1
12,AVIC,TRUE,1
13,AVIC and Jiangxi Water,TRUE,1
14,Baidu,TRUE,1
15,Bank of China,TRUE,1
16,Baosteel,TRUE,1
17,BBK Electronics,TRUE,1
18,Beijing Auto,TRUE,1
19,Beijing Capital,TRUE,1
20,Beijing Construction Engineering,TRUE,1
21,Beijing Enterprises,TRUE,1
22,Beijing Kunlun,TRUE,1
23,Beijing Miteno,TRUE,1
24,Beijing Urban Construction,TRUE,1
25,Beijing Zhonghuan,TRUE,1
26,Biostime,TRUE,1
27,BlueFocus Communications,TRUE,1
28,Bona Film,TRUE,1
29,Bright Foods,TRUE,1
30,By-Health,TRUE,1
31,BYD,TRUE,1
32,C Banner International,TRUE,1
33,Caixin,TRUE,1
34,Canyon Bridge,TRUE,1
35,CC Land,TRUE,1
36,CDH,TRUE,1
37,CEFC,TRUE,1
38,CEFC/Norinco,TRUE,1
39,Changsheng China,TRUE,1
40,Chem China,TRUE,1
41,ChemChina,TRUE,1
42,Chengdu Techcent,TRUE,1
43,Chengdu Techcent Environment,TRUE,1
44,Chengdu Tianqi,TRUE,1
45,Chifeng Jilong,TRUE,1
46,China Aerospace Science and Technology,TRUE,1
47,China Animal Husbandry,TRUE,1
48,China Communications Bank,TRUE,1
49,China Communications Construction,TRUE,1
50,China Construction Bank,TRUE,1
51,China Development Bank,TRUE,1
52,China Eastern,TRUE,1
53,China Electronics Corporation,TRUE,1
54,China Energy Conservation,TRUE,1
55,China Energy Engineering,TRUE,1
56,China Everbright and Baofeng,TRUE,1
57,China Fortune,TRUE,1
58,China Galaxy Securities,TRUE,1
59,China Gansu International Corp for Economic and Technical Cooperation,TRUE,1
60,China GEM-led consortium,TRUE,1
61,China General Nuclear,TRUE,1
62,China Great Wall,TRUE,1
63,China Henan International Cooperation,TRUE,1
64,China Henan International Corporation,TRUE,1
65,China Huadian,TRUE,1
66,China International Marine Containers,TRUE,1
67,China Iron and Steel Research Institute,TRUE,1
68,China JinJiang Environment,TRUE,1
69,China Launch and Tracking Control General,TRUE,1
70,China Life,TRUE,1
71,China Life and Ping An,TRUE,1
72,China Light and Jiangxi Jianglian,TRUE,1
73,China Lilongwe Grand,TRUE,1
74,China Media Capital,TRUE,1
75,China Merchants,TRUE,1
76,China Merchants and China Communications Construction,TRUE,1
77,China Mingshen Investment,TRUE,1
78,China Minsheng Investment,TRUE,1
79,China Mobile,TRUE,1
80,China Molybdenum,TRUE,1
81,China National Building Material,TRUE,1
82,China National Chemical Engineering,TRUE,1
83,China National Nuclear,TRUE,1
84,China National Offshore Oil,TRUE,1
85,China National Silicon (consortium of Shanghai state firms),TRUE,1
86,China Nonferrous,TRUE,1
87,China Ocean Shipping,TRUE,1
88,China Orient,TRUE,1
89,China Orient Asset Management,TRUE,1
90,China Poly,TRUE,1
91,China Power Investment,TRUE,1
92,China Railway Construction,TRUE,1
93,China Railway Construction and China Nonferrous,TRUE,1
94,China Railway Construction and China Railway Engineering,TRUE,1
95,China Railway Contruction,TRUE,1
96,China Railway Corp,TRUE,1
97,China Railway Corp and Norinco,TRUE,1
98,China Railway Engineering,TRUE,1
99,China Railway Rolling Stock,TRUE,1
100,China Reform Holdings,TRUE,1
101,China Reinsurance,TRUE,1
102,China Resources,TRUE,1
103,China Singyes,TRUE,1
104,China Small and Medium Enterprise Investment,TRUE,1
105,China South Industries,TRUE,1
106,China Tianying,TRUE,1
107,China Unicom,TRUE,1
108,China Vanke,TRUE,1
109,China Western Power Industrial,TRUE,1
110,Chinalco,TRUE,1
111,ChinaNetCentre,TRUE,1
112,Chinese Academy of Sciences,TRUE,1
113,Chint,TRUE,1
114,Chongqing Foreign Trade and Economy Corporation,TRUE,1
115,Chongqing Sokon,TRUE,1
116,Chongqing USUM,TRUE,1
117,CIC,TRUE,1
118,CIC and Didi Kuaidi,TRUE,1
119,CIC and Wise Road Capital,TRUE,1
120,Cinda,TRUE,1
121,Cinda and Union Life,TRUE,1
122,Cindat,TRUE,1
123,CITIC,TRUE,1
124,CITIC-led fund,TRUE,1
125,CNOOC,TRUE,1
126,CNOOC and CNPC,TRUE,1
127,CNPC,TRUE,1
128,COFCO,TRUE,1
129,COFCO and Hopu Investment,TRUE,1
130,Contemporary Amperex Tech,TRUE,1
131,Country Garden,TRUE,1
132,Country Garden Holdings,TRUE,1
